YEARQ,IDHH,ICPSR,PANEL_ROT_GROUP,URBANICITY,LIV_TYPE,UNITS,OUTSIDE,GATED,RESTRICTED,INCOME,RACE_HOH,PRINCIPAL_REL,PRINCIPAL_AGE,PRINCIPAL_MARITAL,PRINCIPAL_SEX,PRINCIPAL_ARMFOR,PRINCIPAL_ED,PRINCIPAL_RACE,PRINCIPAL_HISP,REF_AGE,REF_MARITAL,REF_SEX,REF_ARMFOR,REF_ED,REF_RACE,REF_HISP,NUM_OVER12,NUM_UNDER12,NUM_REPORT,BUSINESS,BUSINESS_SIGN,BROKEN_IN,NUM_BROKEN_IN,NUM_VEHICLE,VEHICLE_THEFT,NUM_VEHICLE_THEFT,COLLEGE,PUBLIC,INDIAN_RES,FAMILY_STRUCTURE,REGION,PRINCIPAL_SCHOOL,REF_SCHOOL,REF_REL,AGE,MARITAL,SEX,ARMFOR,ED,RACE,HISP,STOLEN,NUM_STOLEN,ATTACK_LOC,WEAPON,NUM_WEAPON,OFFENDER_KNOWN,NUM_OFFENDER_KNOWN,FORCED_SEX,NUM_FORCED_SEX,POLICE,NO_POLICE,DIS_HEAR,DIS_VIS,DIS_LEARN,DIS_PHYS,DIS_DRESS_BATHE,DIS_LEAVING_HOME,CITIZENSHIP,SEXUAL_ORIENTATION,ACTIVE_DUTY,JOB_WEEK,JOB_6MO,JOB_2WEEK,JOB,EMP_TYPE,JOB_LOC,JOB_COLLEGE,ATT_COLLEGE,NUM_INCIDENTS
2020.1,1.60271E+24,1,11,2,1,1,9,2,2,16,99,11,48,1,2,2,43,1,2,48,1,2,2,43,1,2,6,1,2,1,2,2,999,3,2,999,2,9,2,20,4,4,4,3,17,5,1,9,8,2,2,1,1,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,9,2,2,9,99,9,9,9,0,1
2020.1,1.60279E+24,1,21,2,1,1,9,2,2,18,99,2,36,1,2,2,42,1,2,38,1,1,2,43,1,1,5,0,1,2,9,2,999,1,2,999,2,9,2,1,4,4,4,2,36,1,2,2,42,1,2,2,999,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,1,1,9,9,27,4,2,2,4,1
2020.1,1.60286E+24,3,11,2,1,1,9,2,2,15,99,2,45,1,2,2,40,1,2,43,1,1,2,40,3,1,2,0,1,2,9,1,1,4,2,999,2,9,2,8,4,4,4,11,43,1,1,2,40,3,1,1,1,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,1,1,9,9,27,1,1,2,4,1
2020.1,1.60286E+24,10,31,2,1,1,9,2,2,15,99,11,29,5,2,2,42,1,2,29,5,2,2,42,1,2,2,0,2,2,9,1,1,2,2,999,2,2,2,30,4,4,4,11,29,5,2,2,42,1,2,1,1,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,3,1,1,9,9,7,1,1,2,4,2
2020.1,1.60286E+24,10,31,2,1,1,9,2,2,15,99,11,29,5,2,2,42,1,2,29,5,2,2,42,1,2,2,0,2,2,9,1,1,2,2,999,2,2,2,30,4,4,4,11,29,5,2,2,42,1,2,1,1,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,3,1,1,9,9,7,1,1,2,4,2
2020.1,1.60286E+24,10,37,2,1,5,1,2,2,8,99,11,41,4,2,2,41,1,1,41,4,2,2,41,1,1,1,1,2,2,9,1,1,0,9,999,2,1,2,28,4,3,3,11,41,4,2,2,41,1,1,1,1,2,2,999,2,999,2,999,1,2,2,2,2,2,2,2,1,2,1,2,2,9,99,9,9,9,3,2
2020.1,1.60286E+24,10,37,2,1,5,1,2,2,8,99,11,41,4,2,2,41,1,1,41,4,2,2,41,1,1,1,1,2,2,9,1,1,0,9,999,2,1,2,28,4,3,3,11,41,4,2,2,41,1,1,1,1,2,2,999,2,999,2,999,1,2,2,2,2,2,2,2,1,2,1,2,2,9,99,9,9,9,3,2
2020.1,1.60286E+24,6,31,1,1,6,1,2,1,13,99,11,26,5,2,2,42,1,2,26,5,2,2,42,1,2,1,0,1,2,9,2,999,0,9,999,2,2,2,32,4,4,4,11,26,5,2,2,42,1,2,2,999,2,1,1,2,999,2,999,2,1,2,2,2,2,2,2,1,2,1,1,9,9,27,1,1,2,4,1
2020.1,1.60286E+24,7,27,1,1,6,2,2,1,18,99,11,30,5,1,2,42,1,2,30,5,1,2,42,1,2,1,0,1,2,9,2,999,2,2,999,2,2,2,16,4,4,4,11,30,5,1,2,42,1,2,1,1,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,3,2,1,9,9,27,1,2,2,4,1
2020.1,1.60286E+24,2,17,3,1,1,9,2,2,15,99,11,39,5,1,2,28,1,2,39,5,1,2,28,1,2,1,0,2,1,2,1,1,4,2,999,2,9,2,16,4,4,4,11,39,5,1,2,28,1,2,1,1,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,1,1,9,9,27,4,4,2,4,2
2020.1,1.60286E+24,2,17,3,1,1,9,2,2,15,99,11,39,5,1,2,28,1,2,39,5,1,2,28,1,2,1,0,2,1,2,1,1,4,2,999,2,9,2,16,4,4,4,11,39,5,1,2,28,1,2,1,1,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,1,1,9,9,27,4,4,2,4,2
2020.1,1.60286E+24,26,37,2,1,1,9,2,2,12,99,11,43,1,2,2,41,1,2,43,1,2,2,41,1,2,5,2,1,2,9,2,999,3,2,999,2,9,2,20,4,4,4,11,43,1,2,2,41,1,2,2,999,1,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,1,1,9,9,27,1,3,2,4,1
2020.1,1.60286E+24,8,21,2,1,1,9,2,2,16,99,2,51,1,2,2,43,1,2,52,1,1,2,42,1,2,3,0,1,2,9,2,999,4,2,999,2,9,2,4,4,4,4,11,52,1,1,2,42,1,2,1,1,2,2,999,2,999,2,999,2,2,2,2,2,2,2,2,1,2,2,1,9,9,27,4,1,2,4,1
